Ciudad,Zona,Direccion,Tamano,Nº de baños,Nº de habitaciones,Precio de venta,Fecha de creacion,Publicado por
Barcelona,Ipsam,Avenida de Florencia Marquez 95,75,4,5,185827216,2020-07-26,Maria Gonzalez
La Rioja,Aperiam,Ronda Felicia Berrocal 15 Piso 6 ,110,1,6,806342338,2023-08-26,Maria Gonzalez
Lugo,Vero,Paseo Azeneth Martorell 6 Piso 2 ,152,1,4,97625015,2025-04-15,Carolina Castro Jaramillo
La Coruña,Laudantium,Paseo Candelario Guardia 16 Puerta 1 ,292,2,6,791669313,2024-09-05,Carolina Castro Jaramillo
Granada,Atque,Alameda de Porfirio Patino 76 Piso 3 ,87,1,5,237124427,2024-09-15,Maria Gonzalez
Ávila,Voluptatem,Camino Olga Cuellar 36 Apt. 91 ,189,4,3,792845900,2024-10-09,Laura Martinez
Lleida,Adipisci,Plaza de Arsenio Perez 70,239,1,1,34709278,2020-10-23,Andres Lopez
Cuenca,Delectus,Via de Gracia Fuertes 946 Puerta 0 ,272,3,3,446944450,2024-01-14,Maria Gonzalez
Almería,Ipsa,Avenida de Aurelia Fabregat 9 Piso 0 ,38,4,3,769379048,2022-09-22,Sofia Morales
La Rioja,Nulla,Glorieta Alvaro Segura 4,200,2,5,140730076,2023-10-15,Ana Torres
Cádiz,Necessitatibus,Calle de Ana Belen Fiol 36,295,4,5,582666928,2023-02-23,Luis Fernandez
Ciudad,Iure,Via de Maxima Beltran 986,243,4,5,442126574,2022-06-27,Luis Fernandez
Madrid,Enim,Via Josep Posada 82 Apt. 29 ,58,2,5,784739040,2021-07-18,Carolina Castro Jaramillo
Córdoba,Culpa,Ronda Otilia Haro 59 Piso 1 ,72,4,4,462332682,2024-05-16,Ana Torres
Lugo,Consequatur,Rambla de Seve Roura 45 Piso 6 ,282,1,3,395021642,2020-06-20,Carlos Rodriguez
Segovia,Corporis,Via Fabiola Casado 18,277,4,3,799281035,2022-10-15,Carlos Rodriguez
Ceuta,Enim,Via Candela Menendez 2,189,2,1,389665931,2025-01-28,Laura Martinez
Navarra,Quidem,Cuesta Leon Bermudez 6 Puerta 7 ,145,4,3,216257002,2021-10-11,Pedro Ramirez
Valencia,Tenetur,Urbanizacion Rosalia Vilar 574,294,1,4,710093925,2024-10-03,Laura Martinez
Ávila,Aspernatur,C. Felicidad Llamas 499,120,1,5,233260318,2024-06-06,Carolina Castro Jaramillo
Salamanca,Consequuntur,Pasadizo Charo Villa 98,48,2,6,489110697,2023-04-10,Carolina Castro Jaramillo
Madrid,Qui,Callejon de Victoria Tovar 5,102,1,5,592508458,2023-03-07,Carolina Castro Jaramillo
Cuenca,Consequuntur,Avenida Luna Clemente 92 Apt. 11 ,171,2,2,140783883,2024-03-26,Juan Perez
